Loan Purpose,Checking,Savings,Months Customer,Months Employed,Gender,Marital Status,Age,Housing,Years,Job,Credit Risk
Furniture,0,957,19,11,F,Divorced,19,Rent,4,Skilled,High
New Car,0,770,37,3,F,Divorced,33,Own,4,Skilled,High
Furniture,983,950,13,5,F,Divorced,24,Rent,3,Skilled,High
Used Car,0,160,13,7,M,Married,40,Rent,4,Skilled,Low
Used Car,0,276,25,91,M,Single,62,Own,4,Skilled,Low
Education,798,137,25,25,F,Divorced,33,Other,4,Unskilled,High
New Car,0,579,22,70,M,Married,29,Own,3,Skilled,Low
New Car,193,2684,13,5,F,Divorced,22,Own,2,Unskilled,High
Small Appliance,497,0,7,51,M,Single,35,Other,4,Skilled,Low
Furniture,0,0,31,53,M,Single,30,Own,4,Skilled,High
New Car,0,0,25,103,F,Divorced,28,Own,2,Skilled,High
New Car,0,712,16,6,F,Divorced,28,Own,2,Skilled,High
New Car,0,912,7,39,M,Single,44,Own,3,Management,Low
